,Filme,Nota 1,Nota 2,Nota 3,Nota 4,Nota 5,Nota 6,Nota 7,Nota 8,Nota 9,Nota 10
178,Fuga no Século 23,75%,,,,,,,,,
179,O Rei Leão,75%,90%,70%,70%,60%,,,,,
180,Sonic 2: O Filme,70%,70%,80%,60%,80%,90%,70%,80%,,
181,Invocação do Mal,70%,90%,85%,80%,70%,,,,,
182,Até o Último Homem,70%,70%,80%,80%,60%,80%,100%,,,
183,Assassinos da Lua das Flores,80%,80%,70%,80%,85%,85%,80%,80%,80%,85%
184,Invocação do Mal 3: A Ordem do Demônio,60%,70%,60%,70%,,,,,,
185,Shazam!,70%,90%,80%,90%,60%,95%,60%,70%,80%,70%
186,Corra!,90%,70%,100%,70%,70%,70%,100%,90%,70%,90%
187,Jurassic World: Reino Ameaçado,80%,80%,85%,50%,50%,90%,60%,90%,60%,50%
188,Meu Malvado Favorito 2,65%,,,,,,,,,
189,A Guerra do Amanhã,75%,70%,80%,85%,80%,,,,,
190,Mulher-Maravilha 1984,70%,80%,75%,60%,80%,85%,85%,60%,85%,85%
191,Arranha-Céu: Coragem Sem Limite,90%,60%,70%,60%,,,,,,
192,Jogos Mortais X,70%,80%,100%,70%,,,,,,
193,Argylle: O Superespião,80%,70%,50%,90%,50%,70%,70%,75%,,
194,Star Trek: Sem Fronteiras,70%,70%,75%,90%,70%,70%,85%,70%,,
195,O Rei Leão,100%,70%,,,,,,,,
196,O Segredo do Abismo,90%,80%,,,,,,,,
197,Os Bons Companheiros,90%,70%,70%,,,,,,,
198,Besouro Azul,70%,70%,60%,70%,60%,100%,70%,70%,,
199,Meu Amigo Robô,70%,70%,,,,,,,,
200,Homem de Ferro 3,50%,70%,50%,70%,80%,80%,80%,50%,50%,70%
201,Thor: Amor e Trovão,70%,80%,70%,70%,70%,90%,60%,60%,90%,70%
202,Fúria Primitiva,90%,70%,60%,65%,70%,,,,,
203,Harry Potter e o Cálice de Fogo,70%,90%,,,,,,,,
204,Planeta dos Macacos: A Origem,70%,,,,,,,,,
205,A Experiência,70%,80%,50%,,,,,,,
206,Sing 2,90%,,,,,,,,,
207,O Senhor dos Anéis: O Retorno do Rei,100%,80%,100%,100%,85%,70%,80%,,,
208,Creed II,70%,60%,78%,90%,60%,,,,,
209,Lady Bird - A Hora de Voar,80%,80%,100%,70%,90%,100%,60%,70%,,
210,Como Eu Era Antes de Você,70%,,,,,,,,,
211,Anônimo,60%,70%,90%,60%,50%,70%,80%,70%,80%,80%
212,Harry Potter e a Câmara Secreta,90%,80%,70%,,,,,,,
213,Gênio Indomável,80%,90%,70%,90%,80%,,,,,
214,A Chamada,50%,,,,,,,,,
215,A Morte do Demônio: A Ascensão,75%,70%,70%,90%,80%,70%,70%,85%,,
216,Grease: Nos Tempos da Brilhantina,75%,80%,60%,70%,70%,,,,,
217,Harry Potter e as Relíquias da Morte - Parte 2,80%,80%,,,,,,,,
218,Guardiões da Galáxia - Vol. 2,70%,80%,80%,70%,80%,70%,60%,70%,85%,70%
219,Meu Malvado Favorito 3,60%,60%,80%,60%,,,,,,
220,Piratas do Caribe: O Baú da Morte,80%,70%,,,,,,,,
221,Cinquenta Tons de Cinza,65%,70%,50%,,,,,,,
222,A Garota de Miller,100%,,,,,,,,,
223,Chappie,80%,,,,,,,,,
224,Harry Potter e o Enigma do Príncipe,60%,60%,60%,80%,,,,,,
